                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0861,                 6.5398,                 1.6068,                0.02631,                0.33333,                0.01908,                0.00423,                 3.2947,                 3.6684,                 1.6326,             0.00057778,             0.00057778,             0.00057778
                     36,                 2.1214,                  6.191,                 1.5456,                 0.0677,                0.16667,                0.08449,                0.01059,                 3.3517,                 3.7798,                 1.5682,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.9539,                 6.6291,                 1.6345,                0.02721,                0.66667,                0.15306,                0.01906,                 3.3495,                 4.2798,                  1.579,             0.00051177,             0.00051177,             0.00051177
                     38,                 2.1084,                 6.4715,                 1.4544,                   0.04,                0.66667,                0.18481,                0.04551,                 2.8296,                 4.0788,                 1.3634,             0.00047876,             0.00047876,             0.00047876
                     39,                 2.1187,                 4.5581,                 1.6039,                0.09725,                    0.5,                0.12108,                0.04115,                 2.5929,                 3.2484,                 1.3985,             0.00044576,             0.00044576,             0.00044576
                     40,                 2.4784,                 6.0525,                 1.8036,                0.07683,                    0.5,                0.10659,                 0.0364,                 2.4089,                 3.2092,                 1.3871,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.7712,                 7.4934,                 1.3791,                0.07909,                    0.5,                0.12906,                0.04321,                 2.5159,                 3.1378,                 1.3845,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.3527,                 7.8968,                 1.0165,                0.12958,                    0.5,                0.33821,                0.08978,                  2.629,                 3.3911,                 1.4262,             0.00034674,             0.00034674,             0.00034674
                     43,                  1.657,                 7.6371,                 1.1365,                0.10249,                0.66667,                0.32815,                0.06239,                 2.6663,                 3.7145,                 1.4042,             0.00031373,             0.00031373,             0.00031373
                     44,                  1.826,                 6.3096,                 1.2171,                0.13389,                0.33333,                0.30253,                0.06875,                  2.836,                 3.4489,                 1.3851,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.7735,                 7.2157,                 1.3097,                0.16359,                    0.5,                0.27352,                0.05451,                 2.9899,                  3.291,                 1.3975,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.3904,                 7.4545,                0.97891,                0.02944,                0.33333,                0.05075,                0.01383,                 2.9551,                 3.1086,                 1.3765,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.4629,                 7.1175,                 1.1025,                0.08546,                    0.5,                0.10776,                0.01927,                 2.7881,                 3.1562,                 1.3158,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.1573,                 7.4081,                0.74482,                0.12727,                    0.5,                 0.1019,                0.02117,                 2.5863,                 3.4499,                 1.3345,              0.0001487,              0.0001487,              0.0001487
                     49,                  1.668,                 7.6269,                 1.1137,                0.12621,                    0.5,                0.10241,                0.02116,                 2.4817,                 3.5343,                 1.3337,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.3868,                 6.7992,                 0.9766,                0.10281,                    0.5,                 0.1025,                0.02191,                 2.4964,                 3.5843,                   1.36,             8.2683e-05,             8.2683e-05,             8.2683e-05
