                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 118.25,                      0,                      0,                      0,                      0,                      0,                      0,                  90.75,                      0,             0.00023338,             0.00023338,             0.00023338
                      2,                      0,                 100.58,                      0,                      0,                      0,                      0,                      0,                      0,                 79.438,                      0,             0.00047864,             0.00047864,             0.00047864
                      3,                      0,                 89.706,                      0,                      0,                      0,                      0,                      0,                      0,                 62.469,                      0,             0.00071896,             0.00071896,             0.00071896
                      4,                      0,                  82.79,                      0,                      0,                      0,                      0,                      0,                      0,                 51.812,                      0,             0.00095432,             0.00095432,             0.00095432
                      5,                      0,                  77.84,                      0,                      0,                      0,                      0,                      0,                      0,                 35.531,                      0,              0.0011847,              0.0011847,              0.0011847
                      6,                      0,                 72.036,                      0,                      0,                      0,                      0,                      0,                      0,                  34.25,                      0,              0.0014102,              0.0014102,              0.0014102
                      7,                      0,                 67.901,                      0,                      0,                      0,                      0,                      0,                      0,                 62.906,                      0,               0.001568,               0.001568,               0.001568
                      8,                      0,                 62.939,                      0,                      0,                      0,                      0,                      0,                      0,                 45.219,                      0,               0.001568,               0.001568,               0.001568
                      9,                      0,                 58.321,                      0,                      0,                      0,                      0,                      0,                      0,                 32.406,                      0,              0.0015515,              0.0015515,              0.0015515
                     10,                      0,                 53.513,                      0,                      0,                      0,                      0,                      0,                      0,                   40.5,                      0,               0.001535,               0.001535,               0.001535
                     11,                      0,                 48.448,                      0,                      0,                      0,                      0,                      0,                      0,                 45.188,                      0,              0.0015185,              0.0015185,              0.0015185
                     12,                      0,                 44.962,                      0,                      0,                      0,                      0,                      0,                      0,                 26.406,                      0,               0.001502,               0.001502,               0.001502
                     13,                      0,                 40.129,                      0,                      0,                      0,                      0,                      0,                      0,                   1923,                      0,              0.0014855,              0.0014855,              0.0014855
                     14,                      0,                 35.912,                      0,                      0,                      0,                      0,                      0,                      0,                 289.25,                      0,               0.001469,               0.001469,               0.001469
                     15,                      0,                 32.082,                      0,                      0,                      0,                      0,                      0,                      0,                 16.516,                      0,              0.0014525,              0.0014525,              0.0014525
                     16,                      0,                 28.372,                      0,                      0,                      0,                      0,                      0,                      0,                 8.3984,                      0,               0.001436,               0.001436,               0.001436
                     17,                      0,                 24.987,                      0,                      0,                      0,                      0,                      0,                      0,                 6.8438,                      0,              0.0014195,              0.0014195,              0.0014195
                     18,                      0,                 22.002,                      0,                      0,                      0,                      0,                      0,                      0,                 6.4297,                      0,              0.0014029,              0.0014029,              0.0014029
                     19,                      0,                 19.224,                      0,                      0,                      0,                      0,                      0,                      0,                 6.3945,                      0,              0.0013864,              0.0013864,              0.0013864
                     20,                      0,                 16.752,                      0,                      0,                      0,                      0,                      0,                      0,                 6.3945,                      0,              0.0013699,              0.0013699,              0.0013699
