                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2957,                 5.4053,                 1.6479,                0.01351,                0.66667,                0.06255,                0.01117,                 3.9379,                 3.5482,                 2.8417,              0.0011224,              0.0011224,              0.0011224
                     36,                 2.2746,                 5.1894,                 1.5807,                0.00662,                0.66667,                0.02426,                 0.0041,                 3.4716,                 4.0282,                 1.9838,              0.0011059,              0.0011059,              0.0011059
                     37,                 2.1318,                 5.4961,                 1.5945,                0.00719,                0.33333,                0.01121,                0.00208,                 3.9198,                 3.4328,                 2.3795,              0.0010894,              0.0010894,              0.0010894
                     38,                 2.2891,                  5.307,                 1.5193,                0.03008,                0.66667,                0.23454,                0.04503,                 3.0671,                 2.9348,                  1.424,              0.0010729,              0.0010729,              0.0010729
                     39,                 2.2485,                 4.3916,                 1.7306,                0.12999,                0.16667,                0.07095,                0.01779,                 3.3511,                 2.9239,                 1.4568,              0.0010564,              0.0010564,              0.0010564
                     40,                 2.3955,                 5.3909,                 1.8412,                0.00823,                0.33333,                0.01561,                0.00527,                 3.5131,                  3.394,                 1.5692,              0.0010399,              0.0010399,              0.0010399
                     41,                 2.2543,                 4.9738,                 1.6745,                0.02759,                0.66667,                0.05276,                0.01186,                 3.2874,                 3.4421,                 1.5447,              0.0010234,              0.0010234,              0.0010234
                     42,                 2.2073,                 4.7793,                 1.6886,                0.02778,                0.66667,                 0.0652,                0.02096,                 2.9557,                 2.9631,                 1.4247,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.9971,                 4.2626,                 1.4419,                0.02837,                0.66667,                0.07254,                0.02872,                 2.8173,                 2.9543,                 1.3099,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.9301,                 4.3205,                 1.3971,                0.01442,                    0.5,                0.07401,                0.01636,                 3.3285,                 3.1718,                 1.4526,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.9042,                 4.1583,                 1.4375,                0.01408,                    0.5,                0.34192,                0.07628,                 3.1871,                 3.4863,                 1.4497,             0.00095736,             0.00095736,             0.00095736
                     46,                 2.4517,                 4.1594,                 1.7122,                0.00943,                0.66667,                0.25521,                0.07323,                 2.5307,                 3.3913,                  1.235,             0.00094085,             0.00094085,             0.00094085
                     47,                 2.2883,                 3.6488,                 1.8425,                0.00779,                0.83333,                 0.0575,                0.01752,                 2.1526,                 3.4767,                 1.1273,             0.00092435,             0.00092435,             0.00092435
                     48,                 2.2934,                 4.4527,                 1.4727,                0.06932,                0.66667,                0.15169,                0.06423,                  2.307,                 2.9067,                 1.1961,             0.00090785,             0.00090785,             0.00090785
                     49,                  1.989,                 3.9752,                 1.6339,                 0.2133,                0.16667,                 0.1277,                0.06604,                 2.5897,                 2.7976,                 1.3047,             0.00089134,             0.00089134,             0.00089134
                     50,                 2.0944,                 4.4367,                 1.6839,                0.14059,                0.16667,                0.07944,                0.01812,                 3.0461,                 2.7223,                 1.6194,             0.00087484,             0.00087484,             0.00087484
                     51,                 2.3719,                 4.6235,                 1.5464,                0.04211,                0.66667,                0.10125,                0.02642,                 3.3683,                 3.2399,                 1.8477,             0.00085834,             0.00085834,             0.00085834
                     52,                 2.1443,                 4.0199,                 1.5251,                0.04549,                    0.5,                0.06399,                0.01844,                 3.2695,                 2.5835,                 1.8439,             0.00084184,             0.00084184,             0.00084184
                     53,                  2.143,                 3.3867,                 1.6519,                0.04556,                    0.5,                0.04708,                0.01355,                  2.959,                 3.0597,                 1.8844,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.9002,                 3.6944,                 1.4531,                 0.0412,                0.66667,                 0.0547,                0.01672,                 2.6702,                 3.5399,                 1.6404,             0.00080883,             0.00080883,             0.00080883
                     55,                 2.2231,                 4.1017,                 1.5117,                0.01794,                0.66667,                 0.0571,                0.01934,                 2.6951,                 3.5682,                 1.4668,             0.00079233,             0.00079233,             0.00079233
                     56,                 2.2212,                 3.8164,                  1.384,                0.02299,                0.66667,                0.13955,                0.04419,                 2.7976,                 3.2398,                 1.3971,             0.00077582,             0.00077582,             0.00077582
                     57,                 2.5241,                 4.0548,                  1.669,                0.01747,                0.66667,                0.06675,                0.01451,                 2.9696,                 3.1312,                 1.5293,             0.00075932,             0.00075932,             0.00075932
                     58,                 2.2643,                 4.1428,                 1.3991,                0.02286,                0.66667,                 0.0535,                0.01258,                 3.3186,                 3.0067,                 1.8484,             0.00074282,             0.00074282,             0.00074282
                     59,                 2.2452,                 3.7264,                  1.658,                0.02703,                0.33333,                0.05682,                0.01529,                 3.5289,                 2.9027,                  2.107,             0.00072631,             0.00072631,             0.00072631
                     60,                 2.1234,                 4.4322,                 1.4997,                0.04412,                    0.5,                0.09375,                 0.0203,                 3.5048,                 2.9875,                 2.1272,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.7246,                 3.5885,                 1.3298,                0.01724,                0.33333,                0.03922,                0.01121,                 3.3855,                 2.7688,                 2.0995,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.5035,                 4.3223,                 1.1599,                0.03125,                0.66667,                0.10776,                0.03332,                 2.9404,                 3.0265,                 1.5696,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.8871,                 4.0197,                 1.3906,                0.03306,                0.66667,                  0.096,                0.02824,                 2.8353,                 3.3607,                 1.6877,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.9636,                 3.7449,                 1.4326,                0.04706,                0.66667,                0.10661,                0.02555,                 2.9435,                  3.794,                 1.6212,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.9683,                 3.5027,                 1.5265,                0.04225,                    0.5,                0.09624,                0.03111,                  2.836,                  3.908,                 1.5463,             0.00062729,             0.00062729,             0.00062729
                     66,                 2.6303,                 4.0269,                 1.5782,                0.03175,                0.66667,                 0.1479,                0.04385,                 2.5369,                  3.451,                 1.3568,             0.00061079,             0.00061079,             0.00061079
                     67,                 2.5292,                 3.8913,                 1.5953,                0.04879,                0.66667,                0.12914,                0.02593,                 2.6057,                 2.8258,                 1.3164,             0.00059429,             0.00059429,             0.00059429
                     68,                 2.1879,                 4.1688,                 1.4988,                0.05682,                    0.5,                0.17328,                0.03515,                 2.7521,                 3.1009,                 1.3313,             0.00057778,             0.00057778,             0.00057778
                     69,                  1.942,                 3.8445,                  1.469,                0.01562,                0.33333,                0.07963,                0.01241,                 2.9833,                 3.2854,                 1.3564,             0.00056128,             0.00056128,             0.00056128
                     70,                 2.0744,                 3.6322,                 1.6711,                0.04211,                0.66667,                0.07423,                0.01647,                 3.4141,                 3.0158,                 1.5897,             0.00054478,             0.00054478,             0.00054478
                     71,                 2.1647,                 3.9566,                 1.5237,                0.03947,                    0.5,                0.05609,                0.01377,                 3.4383,                 3.1151,                  2.067,             0.00052827,             0.00052827,             0.00052827
                     72,                  2.127,                  2.967,                 1.5694,                0.03999,                    0.5,                0.06439,                0.01908,                 3.2769,                 2.9015,                 1.8763,             0.00051177,             0.00051177,             0.00051177
                     73,                 2.0392,                 3.5999,                 1.4283,                0.17652,                    0.5,                0.14348,                0.02897,                 3.2723,                 2.9095,                 1.7771,             0.00049527,             0.00049527,             0.00049527
